"Gene","mean","sd"
"ENSG00000132676",9452,4937
"ENSG00000203761",2275,8157
"ENSG00000116580",8414,1314
"ENSG00000132718",3198,12037
"ENSG00000143622",4084,704
"ENSG00000132680",8610,6897
"ENSG00000116584",3833,9724
"ENSG00000163479",11771,7861
"ENSG00000160803",6739,7151
"ENSG00000116586",5884,2544
"ENSG00000160789",12157,5578
"ENSG00000160785",6110,3144
"ENSG00000160783",6113,4063
"ENSG00000260238",4182,1500
"ENSG00000198952",11544,2561
"ENSG00000163472",6190,7764
"ENSG00000198715",10107,9331
"ENSG00000163468",11799,7997
"ENSG00000116604",10581,7939
"ENSG00000163382",8389,2623
"ENSG00000160818",6286,6532
"ENSG00000132688",6703,11709
"ENSG00000143319",4658,3013
"ENSG00000143303",5702,2375
"ENSG00000143314",8071,5291
"ENSG00000143321",11504,1811
"ENSG00000143294",7429,23
"ENSG00000187800",5625,10684
"ENSG00000132694",9988,1614
"ENSG00000117036",2748,4538
"ENSG00000183853",9414,8701
"ENSG00000163563",586,10524
"ENSG00000163565",10773,11034
"ENSG00000213088",227,12015
"ENSG00000158716",8283,11756
"ENSG00000158714",1161,9053
"ENSG00000158710",11492,10547
"ENSG00000143315",2623,2062
